1/19/26,Purchase Price,Live Date,Website,Niche,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Total,Count
Bought - Mohit,"$1,500.00",Jan 2022 or earlier,betterthisworld.com,"General, Health, Business",$375.00,$630.00,"$1,800.00","$2,223.00","$4,500.00","$4,058.38","$2,069.00","$3,465.00","$6,322.00","$6,276.00","$4,672.00","$2,588.75","$4,305.50","$6,500.50","$10,954.50","$11,255.50","$11,664.71","$9,865.50","$9,410.74","$12,925.90","$13,879.44","$19,336.69","$17,712.00","$13,597.00","$13,720.50","$13,692.00","$17,146.00","$10,524.00","$15,721.70","$20,936.70","$24,658.50","$17,802.81","$13,406.51","$12,679.60","$13,963.44","$13,637.50","$19,636.00","$15,998.62","$19,357.00","$23,310.72","$22,409.00","$16,161.25","$16,220.55","$17,045.50","$22,331.33","$26,056.30","$20,345.50","$16,851.50","$6,245.00",,,,,,,,,,,,"$610,244.64",49
Bought - Mohit,"$3,000.00",Jan 2022 or earlier,lyncconf.com,"Gaming, Tech","$1,935.00","$4,406.00","$4,236.80","$2,810.00","$1,265.00","$3,515.00","$1,780.00","$2,310.00","$6,480.00","$7,650.00","$4,445.00","$3,482.00","$5,255.00","$3,810.00","$5,552.00","$3,508.00","$4,105.75","$3,889.65","$3,623.50","$5,590.90","$9,141.20","$6,674.07","$7,201.00","$6,886.00","$4,060.50","$5,078.00","$6,219.50","$8,111.00","$10,765.00","$10,582.00","$14,455.50","$12,903.00","$12,606.00","$7,161.50","$5,032.00","$10,108.50","$15,022.00","$10,575.10","$12,071.50","$11,125.50","$15,865.50","$8,318.50","$10,486.00","$7,252.00","$11,640.00","$13,212.00","$7,965.00","$7,990.50","$3,630.00",,,,,,,,,,,,"$351,787.97",49
Bought - Mohit,"$15,000.00",Jan 2022 or earlier,lookwhatmomfound.com,"Mom Blog, General",$765.00,$650.00,"$1,790.00","$2,575.00","$2,580.00","$3,450.00","$4,462.00","$3,470.00","$4,316.00","$3,662.00","$5,108.00","$5,691.00","$5,086.00","$5,247.00","$6,827.00","$4,519.00","$5,356.00","$5,354.00","$6,147.50","$7,918.20","$6,428.60","$5,250.00","$7,217.00","$9,971.00","$7,846.50","$5,935.00","$6,020.00","$5,083.00","$5,331.70","$6,419.80","$10,884.88","$8,687.00","$8,387.50","$8,718.91","$8,176.80","$7,360.00","$8,894.50","$8,100.00","$10,924.50","$8,665.00","$11,996.00","$10,020.49","$8,833.00","$7,370.16","$7,693.00","$11,797.66","$7,507.50","$8,353.00","$2,569.50",,,,,,,,,,,,"$315,415.70",49
Mark,"$3,000.00",Jan 2022 or earlier,riproar.com,"Business, Finance, Tech","$3,203.00","$3,820.00","$5,860.00","$4,898.00","$4,633.00","$6,372.47","$3,993.00","$5,517.82","$6,338.00","$3,430.27","$4,270.00","$4,009.66","$5,974.00","$6,627.75","$7,956.50","$4,045.00","$7,254.00","$7,117.37","$7,011.99","$8,369.00","$10,073.67","$12,473.81","$12,124.50","$11,742.00","$13,231.00","$13,477.00","$10,348.60","$6,384.00","$5,634.50","$5,656.50","$6,760.88","$2,628.80","$2,700.31","$2,141.00","$1,610.17","$1,782.98","$1,421.00","$2,518.00","$1,838.00",$919.00,"$4,721.00","$4,814.50","$4,176.00","$9,075.00","$9,627.60","$12,341.20","$6,492.25","$7,727.00","$1,371.87",,,,,,,,,,,,"$296,512.97",49
Bought - Mohit,"$3,000.00",Jan 2022 or earlier,traveltweaks.com,"Travel, Food",$65.00,$45.00,$395.00,$470.00,$690.00,"$2,313.74","$1,235.00","$2,110.00","$3,065.00","$3,798.50","$3,590.00","$4,200.00","$4,309.00","$6,150.00","$6,850.00","$5,034.25","$6,420.40","$7,676.11","$6,620.67","$8,412.40","$6,158.73","$11,057.00","$9,607.39","$8,948.00","$4,999.36","$6,208.50","$8,907.00","$7,246.50","$7,420.05","$6,123.70","$8,545.94","$6,293.41","$5,350.90","$5,745.28","$2,925.44","$5,314.90","$7,396.46","$9,487.00","$10,373.94","$7,070.02","$8,326.25","$4,507.00","$7,842.99","$9,792.00","$11,080.50","$12,499.21","$12,112.50","$12,242.59","$1,667.00",,,,,,,,,,,,"$298,699.63",49
-,-,-,Unmatched Payments,,-,-,-,-,-,-,-,-,-,-,$640.12,$0.00,$622.00,$115.00,"$2,529.01","$2,860.00",$975.00,$693.00,$420.00,"$1,242.00","$3,522.00","$3,882.94","$1,659.88","$2,243.75","$1,170.10","$1,131.11","$3,856.00","2,789.00","4,344.00","$3,517.00","$7,400.00","$5,342.56","$7,413.50","$6,762.50","$7,506.45","$7,758.00","$12,731.71","$14,508.69","$16,021.24","$23,777.78","$16,417.31","$25,328.27","$10,661.55","$18,088.70","$20,476.95","$23,488.60","$15,384.40","$12,735.37","$9,385.55",,,,,,,,,,,,"$299,401.04",39
Expired - Odys,$450.00,April 2022 or earlier,etruesports.com,"Esports, Entertainment",-,-,-,$80.00,"$1,076.00",$515.00,$612.00,$390.00,"$1,041.00","$1,733.00","$1,609.00","$1,466.00","$1,499.50","$2,184.00","$3,985.00","$3,201.00","$2,015.00",$998.00,"$1,923.90","$5,326.80","$3,895.08","$8,103.00","$7,241.00","$4,081.31","$7,779.72","$4,748.00","$9,028.00","$9,519.06","$12,551.50","$9,831.10","$8,347.38","$6,049.20","$6,722.00","$11,013.49","$6,351.00","$8,144.00","$9,865.50","$7,999.55","$10,647.82","$8,606.00","$9,289.50","$6,293.57","$8,492.50","$8,182.62","$9,941.50","$11,089.77","$6,379.58","$11,463.11","$2,693.00",,,,,,,,,,,,"$264,004.06",46
Expired - Odys,"$2,500.00",Jan 2022 or earlier,sportsfanfare.com,Sports,"$1,010.00","$1,765.00","$1,653.10","$2,225.00","$2,750.00","$2,875.00","$4,304.00","$6,401.00","$8,754.00","$3,955.00","$4,213.00","$5,078.66","$5,339.00","$4,340.00","$2,759.00","$3,146.00","$2,111.00","$2,063.00","$3,353.00","$5,715.80","$3,889.20","$4,615.00","$7,417.45","$8,317.44","$4,770.42","$4,726.00","$5,866.00","$8,838.00","$4,610.90","$5,953.60","$8,099.00","$6,980.00","$5,435.34","$6,587.00","$5,943.77","$6,419.00","$7,541.00","$7,134.00","$8,126.02","$6,282.02","$5,649.00","$5,246.75","$5,393.90","$5,151.50","$6,324.50","$5,795.50","$5,892.00","$5,605.50","$3,045.50",,,,,,,,,,,,"$249,465.87",49
Bought - Darko,"$5,000.00",6/8/2023,famousparenting.com,"Family, Parenting, General",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$344.00,"$1,887.00","$4,143.75","$4,902.00","$3,655.00","$5,451.00","$6,532.00","$6,966.25","$8,187.75","$12,544.57","$15,437.50","$15,294.00","$14,257.75","$11,086.80","$11,655.76","$8,650.05","$8,347.50","$7,608.50","$9,024.93","$7,431.67","$8,730.65","$6,466.50","$5,732.00","$7,396.25","$5,388.75","$7,709.80","$6,864.50","$5,363.00","$6,463.00","$7,400.00","$9,123.90","$2,102.50",,,,,,,,,,,,"$242,148.63",32
-,-,-,BlackFriday Credits,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"$38,000.00","$2,000.00","$15,000.00","$15,000.00","$27,000.00","$15,000.00","$15,000.00","$10,000.00","$25,000.00",$0.00,"$25,000.00","$15,000.00","$63,000.00","$3,000.00","$15,000.00",,,,,,,,,,,,"$283,000.00",15
